#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
1.29101505992e+30,0.0,-134561.261076,75554.5666556,124101.973847,6.3990438188e+17,5.53437762448e+18,-8.5821475057e+18
2.15770757557e+29,0.0,-134814.689821,75342.8231136,124383.27613,6.31341518357e+17,5.57545908278e+18,-8.65519230494e+18
2.00350632715e+29,0.0,-134606.879898,75169.0463385,123982.79644,6.47289650213e+17,5.57188447064e+18,-8.74467529123e+18
2.66418017609e+29,0.0,-135152.749643,75004.2808639,124190.034119,6.41507272252e+17,5.48549569628e+18,-8.42524843796e+18
5.1219934613e+29,0.0,-134503.007559,75330.0305115,123958.508445,5.63541697289e+17,5.5240208177e+18,-8.67831293019e+18
2.11611094122e+29,0.0,-134747.551116,75504.2819871,124111.025325,6.60461988441e+17,5.55708158124e+18,-8.61419617084e+18
5.53482489744e+29,0.0,-134800.655532,74837.210892,123932.231508,5.87560989184e+17,5.68970898895e+18,-8.49779914771e+18
2.91085264028e+29,0.0,-135327.417338,75181.9433993,123998.987245,7.18571691207e+17,5.52872968836e+18,-8.52409320656e+18
2.20951915967e+29,0.0,-134598.264525,75329.8955886,124351.844542,4.93081287669e+17,5.43438812893e+18,-8.48669795058e+18
3.71877660755e+29,0.0,-135559.541081,75429.1178995,123710.410338,8.05629303893e+17,5.60025372081e+18,-8.6475216631e+18
2.05430935623e+29,0.0,-134815.483579,74588.7161005,124065.210855,6.10507467758e+17,5.61809825009e+18,-8.47423251635e+18
4.28901041783e+29,0.0,-135407.334795,74832.7394122,124007.090342,6.09246329296e+17,5.6262134367e+18,-8.43934588616e+18
2.66323102689e+29,0.0,-135467.787583,74579.7126199,123859.278882,6.27955591034e+17,5.62438429805e+18,-8.51735072991e+18
2.3391153925e+29,0.0,-135901.753016,74633.6533506,123776.970426,7.78702275461e+17,5.58725086657e+18,-8.29213609098e+18
5.55480787181e+29,0.0,-134493.949922,76010.6632688,124381.482695,5.30125804878e+17,5.39237811602e+18,-8.62124329395e+18
2.49980503804e+29,0.0,-135643.286434,74250.5520039,123562.03814,6.87054263709e+17,5.70723657358e+18,-8.34880273918e+18
2.07457386257e+29,0.0,-135047.924607,75531.6428232,124393.852385,6.46674998474e+17,5.54159891486e+18,-8.60161193879e+18
3.64177690529e+29,0.0,-134986.419985,75001.0867671,124157.797879,5.98189486616e+17,5.57755616148e+18,-8.59661210216e+18
8.85490425443e+29,0.0,-134649.311546,74430.3521581,123938.450694,5.61383305575e+17,5.60309254182e+18,-8.47557840048e+18
3.44918326183e+29,0.0,-134678.149168,75101.7306233,124307.631821,5.42117577247e+17,5.5263386207e+18,-8.61371986398e+18
2.27238127176e+29,0.0,-135370.42495,75309.179206,123979.540632,7.0942800182e+17,5.5780478055e+18,-8.45602458514e+18
7.32645720273e+29,0.0,-134818.130317,75452.2324502,124747.480706,4.98008774361e+17,5.4315736686e+18,-8.44808321616e+18
9.45401300985e+29,0.0,-135159.100365,75296.8965685,124405.363744,6.00313711056e+17,5.42617730667e+18,-8.50579887023e+18
9.70840011027e+29,0.0,-134989.93809,75948.1572838,124213.505845,6.86287282157e+17,5.46548447474e+18,-8.72301462242e+18
2.46283475665e+29,0.0,-135365.090432,75279.9072025,124046.304513,6.76250892702e+17,5.56968415043e+18,-8.49716956246e+18
2.35413328834e+29,0.0,-134991.244968,75538.9656592,124093.290144,5.83556485349e+17,5.38932194174e+18,-8.52718284609e+18
4.23239992573e+29,0.0,-134751.707045,75279.3336749,123763.972,5.54121636296e+17,5.52673785445e+18,-8.57065411279e+18
3.39395846076e+29,0.0,-135495.234246,75393.6479042,123679.028112,8.05037329877e+17,5.49086712817e+18,-8.55973447924e+18
3.31321084181e+29,0.0,-134839.719043,75440.0586271,124538.152251,5.80456020722e+17,5.47517784217e+18,-8.54135161679e+18
2.70378146787e+29,0.0,-135753.105511,75525.0277495,123717.09094,6.91890762055e+17,5.45319795496e+18,-8.52075017463e+18
8.20076210826e+29,0.0,-135768.845993,75692.2352519,124089.874152,6.62716590531e+17,5.50234995509e+18,-8.54819886943e+18
7.54656528679e+29,0.0,-134573.429742,75890.0129214,124190.86002,6.58072772342e+17,5.46221535924e+18,-8.6771210698e+18
2.10851544799e+29,0.0,-135663.392806,75128.5113958,123976.635292,6.21704778916e+17,5.52233275398e+18,-8.34523316339e+18
3.65724098812e+29,0.0,-134721.301628,75931.7202465,124089.002409,5.67651668334e+17,5.51771546507e+18,-8.60181313519e+18
4.30154280586e+29,0.0,-135223.91606,75571.4087787,123880.153536,7.23400866656e+17,5.51643652305e+18,-8.52178018662e+18
2.8603178016e+29,0.0,-134648.831967,75210.3519057,123646.377957,6.42964851855e+17,5.67025561807e+18,-8.80966078016e+18
8.45456046313e+29,0.0,-134650.53188,74862.0082461,124069.077256,5.91998623203e+17,5.56545498761e+18,-8.48116436849e+18
2.64920651755e+29,0.0,-135294.053181,75015.6210174,123786.541253,6.63174200325e+17,5.54322789288e+18,-8.4607979184e+18
1.03562236239e+30,0.0,-135139.630852,75220.1831143,123696.994556,6.55940440485e+17,5.45382893914e+18,-8.48691669394e+18
1.51934904216e+30,0.0,-134679.785976,75621.3637029,124513.431841,5.89169010907e+17,5.46223900966e+18,-8.61030849146e+18
5.29268145703e+29,0.0,-135377.877495,74774.6448455,123441.394977,6.62637195009e+17,5.56165529645e+18,-8.58169954175e+18
3.0375953788e+29,0.0,-134651.529518,74685.0034458,124065.780588,5.2441284658e+17,5.57792562447e+18,-8.56002476375e+18
2.04007063092e+29,0.0,-135237.675945,74873.8807474,124120.91454,6.95666195277e+17,5.5939473555e+18,-8.54752568138e+18
6.09225024804e+29,0.0,-134816.174035,75216.3396144,123699.344279,6.4469020702e+17,5.48659977373e+18,-8.62391094605e+18
3.13013420116e+29,0.0,-134882.756506,75054.9262498,123627.169195,6.64622614898e+17,5.56336767716e+18,-8.59227372042e+18
5.24497918538e+29,0.0,-134783.248644,75317.6100717,124069.688999,5.54330373312e+17,5.53221582063e+18,-8.55184445673e+18
3.21142776706e+29,0.0,-135529.401193,75307.4184932,123934.888548,6.51844347218e+17,5.44742974401e+18,-8.5133865309e+18
2.3445835246e+29,0.0,-134958.589232,74549.0950283,124289.676196,4.84502365096e+17,5.636035954e+18,-8.29932357134e+18
3.63127820701e+29,0.0,-135232.510791,75748.969122,124517.08664,6.07677928706e+17,5.48576090393e+18,-8.50510906073e+18
2.79860332722e+29,0.0,-134593.045697,75642.4379689,124344.800819,5.82188759905e+17,5.5395904662e+18,-8.67995555161e+18
2.37557378105e+29,0.0,-134684.857991,74776.6716184,124267.149273,5.67984632024e+17,5.5711965799e+18,-8.50378709976e+18
5.26578760296e+29,0.0,-135660.78028,75564.9486976,123678.423548,7.08045332554e+17,5.40811890187e+18,-8.5134884645e+18
4.30455207441e+29,0.0,-134446.766639,75309.783934,124329.389956,4.65905034461e+17,5.5614812533e+18,-8.47042055015e+18
2.05929431444e+29,0.0,-135426.230555,74891.8111394,123775.207826,7.19438431401e+17,5.64357367331e+18,-8.59070671107e+18
