#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
1.29101505992e+30 0.0 58670.3737357 106941.671208 119665.369838 9.36278392884e+17 -1.23886089448e+19 -1.01560621216e+19
2.15770757557e+29 0.0 63765.1721187 103230.010838 113673.025906 -2.96034660728e+17 -1.28639032392e+19 -1.08973751939e+19
2.00350632715e+29 0.0 56877.6737463 112646.408147 135902.516896 1.50464863633e+18 -1.11494655393e+19 -8.13528000435e+18
2.66418017609e+29 0.0 61721.5396242 106469.990636 112337.617599 2.07198833563e+17 -1.25987347025e+19 -1.09088115687e+19
5.1219934613e+29 0.0 65494.7597659 104960.660456 111526.161351 -3.35056855616e+17 -1.25653132898e+19 -1.09319314189e+19
2.11611094122e+29 0.0 61208.9293345 112442.846952 118277.971772 9.83447486472e+17 -1.14368119103e+19 -9.9555436084e+18
5.53482489744e+29 0.0 63212.824183 107938.000247 107290.941596 3.84077516586e+16 -1.25097807083e+19 -1.12813410567e+19
2.91085264028e+29 0.0 30861.0809929 157688.294424 164831.413625 4.17335874864e+18 -3.37678207899e+18 -2.7197567946e+17
2.20951915967e+29 0.0 61156.1470543 109251.619661 119601.824817 5.1994467778e+17 -1.20059286262e+19 -1.00882853611e+19
3.71877660755e+29 0.0 53833.22404 128725.783926 149629.059618 2.53573812454e+18 -8.42483575238e+18 -5.70928944614e+18
2.05430935623e+29 0.0 64185.8735567 107368.376714 106359.173439 -2.05407972336e+17 -1.26300247142e+19 -1.13766577731e+19
4.28901041783e+29 0.0 61215.3817974 109832.549563 115291.078894 6.96940323033e+17 -1.19584170318e+19 -1.04198497805e+19
2.66323102689e+29 0.0 62269.7521232 107614.924874 121862.831774 3.23790071875e+17 -1.2073410429e+19 -9.89899998004e+18
2.3391153925e+29 0.0 62817.0822441 108390.499262 110791.717849 2.92565598559e+17 -1.22888745782e+19 -1.09048471619e+19
5.55480787181e+29 0.0 49655.272157 131493.83577 151380.522043 3.02186655272e+18 -8.08277803228e+18 -5.33006200267e+18
2.49980503804e+29 0.0 61006.7043594 110917.243197 127189.725204 7.83125614286e+17 -1.14969564693e+19 -9.21004066886e+18
2.07457386257e+29 0.0 61234.4420698 106334.566283 119926.270841 3.52840496026e+17 -1.23923676229e+19 -1.01752728972e+19
3.64177690529e+29 0.0 62059.1625487 106530.1279 112468.327356 1.72925568911e+17 -1.24916038865e+19 -1.08458528292e+19
8.85490425443e+29 0.0 61553.3324311 110904.64256 115830.805668 5.50211668529e+17 -1.18685047306e+19 -1.04051427196e+19
