#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
1.29101505992e+30,0.0,20421.0969037,28007.5435199,124508.75,2.68002819491e+19,-2.60228162031e+18,5.40242314969e+18
2.15770757557e+29,0.0,19622.2684251,28280.5330192,124309.122177,2.66323673397e+19,-2.54613231862e+18,5.40709070341e+18
2.00350632715e+29,0.0,22137.5748133,27838.3150505,127807.438251,2.67884198128e+19,-2.54460032285e+18,4.72860661444e+18
2.66418017609e+29,0.0,16849.0131206,27978.1961526,121073.541876,2.65654602996e+19,-2.3708159658e+18,6.05341848543e+18
5.1219934613e+29,0.0,20272.5949393,27300.8759323,125971.11104,2.67695874595e+19,-2.70421739888e+18,5.06615437956e+18
2.11611094122e+29,0.0,20409.2377657,27790.1432077,124937.747821,2.6729710565e+19,-2.48268811313e+18,5.19221042371e+18
5.53482489744e+29,0.0,17561.2096078,28263.1531301,122199.598445,2.66296742779e+19,-2.38681232779e+18,5.77370617709e+18
2.91085264028e+29,0.0,19761.2065795,28255.850525,123688.928607,2.66457635491e+19,-2.42687636486e+18,5.62616386269e+18
2.20951915967e+29,0.0,16025.6033374,27177.909344,121331.455175,2.66842176947e+19,-2.56143535626e+18,5.90151174918e+18
3.71877660755e+29,0.0,23163.322019,28681.6180908,127490.902711,2.66734287272e+19,-2.45338799353e+18,4.90500915753e+18
2.05430935623e+29,0.0,17167.368128,28667.6892972,122119.761636,2.65460204365e+19,-2.20063603583e+18,5.87879408834e+18
4.28901041783e+29,0.0,17485.5930322,28672.7376455,121847.997109,2.65791885859e+19,-2.25969573442e+18,5.90404463402e+18
2.66323102689e+29,0.0,18246.9014256,28329.7362,122407.840637,2.66041114268e+19,-2.30119371657e+18,5.73465806269e+18
2.3391153925e+29,0.0,16825.7542258,29678.268961,119501.378793,2.63269904353e+19,-2.03955531216e+18,6.48995396985e+18
5.55480787181e+29,0.0,19094.3698462,26672.4641724,124860.844909,2.68150581529e+19,-2.8041171461e+18,5.24001721759e+18
2.49980503804e+29,0.0,16874.4840372,29899.4527633,120082.29543,2.64104911544e+19,-1.99608119263e+18,6.31230773843e+18
2.07457386257e+29,0.0,19485.6407494,28481.4730825,124253.375111,2.66771295817e+19,-2.44328638394e+18,5.45546729697e+18
3.64177690529e+29,0.0,19240.961723,27700.1276473,124445.426193,2.67138955133e+19,-2.54272668201e+18,5.36553932071e+18
8.85490425443e+29,0.0,16207.095086,28584.296132,121573.12301,2.65575955456e+19,-2.16449750116e+18,5.94134874194e+18
3.44918326183e+29,0.0,18829.4924896,27470.2699566,124610.627465,2.67431196539e+19,-2.56381535941e+18,5.33244682256e+18
2.27238127176e+29,0.0,18863.519734,28732.2224876,122487.760716,2.65756860663e+19,-2.34065092223e+18,5.83986579135e+18
7.32645720273e+29,0.0,16492.0084697,27251.7552959,121613.2978,2.66828090861e+19,-2.57672394268e+18,5.8874874194e+18
9.45401300985e+29,0.0,17859.4015384,27339.7498119,122505.689338,2.66891555179e+19,-2.59054947921e+18,5.75418021305e+18
9.70840011027e+29,0.0,23025.4847001,27139.4133453,127660.642862,2.68093767816e+19,-2.83322583497e+18,4.76974198403e+18
2.46283475665e+29,0.0,19111.763825,28404.9163183,122936.513265,2.67085965628e+19,-2.43072859197e+18,5.65896912626e+18
2.35413328834e+29,0.0,17861.7738763,27135.0628233,122799.549871,2.66898413352e+19,-2.64503111397e+18,5.68108027952e+18
4.23239992573e+29,0.0,18185.5092278,27694.261905,123539.509924,2.67111879458e+19,-2.54541232567e+18,5.50891939929e+18
3.39395846076e+29,0.0,20792.031411,28280.0641102,124727.501726,2.66017867334e+19,-2.43688510314e+18,5.47291246934e+18
3.31321084181e+29,0.0,18248.8492412,27527.5909515,123598.731826,2.66763638693e+19,-2.59717991883e+18,5.58111037596e+18
2.70378146787e+29,0.0,19800.8277573,27704.8683696,123568.941867,2.67076065269e+19,-2.58804775478e+18,5.5832923834e+18
8.20076210826e+29,0.0,20711.8312074,27699.476611,124491.210799,2.67547090831e+19,-2.66188874985e+18,5.41189231325e+18
7.54656528679e+29,0.0,21276.2830632,27379.3592777,126480.310895,2.67652073414e+19,-2.72790177144e+18,5.02129310023e+18
2.10851544799e+29,0.0,16466.1137304,28309.9885592,119713.845487,2.65405030264e+19,-2.36228699423e+18,6.28638845855e+18
3.65724098812e+29,0.0,18689.1037472,27963.7565376,124170.985288,2.67173452532e+19,-2.55089420654e+18,5.41720797914e+18
4.30154280586e+29,0.0,19801.0167708,28251.8861456,123468.81983,2.66377639838e+19,-2.49879157943e+18,5.65015262963e+18
2.8603178016e+29,0.0,23036.7415449,28113.497695,128359.77147,2.68436652169e+19,-2.58088553392e+18,4.53428095822e+18
8.45456046313e+29,0.0,17007.3084095,28291.0247925,122008.749333,2.65769136727e+19,-2.29499099139e+18,5.8716000652e+18
2.64920651755e+29,0.0,18235.2876795,28226.8762094,121976.177803,2.6607888499e+19,-2.37402756893e+18,5.90529396015e+18
1.03562236239e+30,0.0,17651.6443646,27861.9582499,121998.400344,2.65863080553e+19,-2.44959510131e+18,5.87246215528e+18
1.51934904216e+30,0.0,19541.615603,27408.2144371,125238.119885,2.67287462467e+19,-2.6441816567e+18,5.25649704298e+18
5.29268145703e+29,0.0,19287.0355686,28002.1472665,123897.900446,2.67179610996e+19,-2.46534256488e+18,5.49597945698e+18
3.0375953788e+29,0.0,17912.2046073,27861.3218743,123634.795885,2.66616940967e+19,-2.39432399209e+18,5.54977130225e+18
2.04007063092e+29,0.0,19848.961175,28458.2543172,124106.363294,2.66552299526e+19,-2.35715944208e+18,5.54638380025e+18
6.09225024804e+29,0.0,19571.4605621,27602.5223815,124767.381073,2.66898843955e+19,-2.54571041556e+18,5.33723320186e+18
3.13013420116e+29,0.0,20791.310755,28106.7186524,126105.617042,2.68526760818e+19,-2.47058626859e+18,5.08343386362e+18
5.24497918538e+29,0.0,17997.7335268,27895.0482071,123278.429706,2.66707493985e+19,-2.48536759932e+18,5.58567994358e+18
3.21142776706e+29,0.0,18760.2348635,27571.9597571,122987.924099,2.66829488449e+19,-2.57277957099e+18,5.66891348235e+18
2.3445835246e+29,0.0,14579.0637074,28780.5857873,118829.242552,2.6534668814e+19,-2.16371572179e+18,6.39894895953e+18
3.63127820701e+29,0.0,18765.0872395,27579.0650028,123183.477962,2.67156007517e+19,-2.63775395739e+18,5.61182751283e+18
2.79860332722e+29,0.0,18646.8267843,28237.3060587,124821.542804,2.66791116852e+19,-2.37083405663e+18,5.32457448135e+18
2.37557378105e+29,0.0,17173.032232,28163.6627169,122604.10036,2.66030033812e+19,-2.31121304691e+18,5.76068946224e+18
5.26578760296e+29,0.0,19342.470138,27579.7332972,123030.450867,2.66835346452e+19,-2.58900188026e+18,5.68123510694e+18
4.30455207441e+29,0.0,16504.7029064,27901.6143695,121576.03401,2.66648313068e+19,-2.49056637338e+18,5.87261470374e+18
2.05929431444e+29,0.0,23482.7877851,28140.7502409,127925.476752,2.67500849744e+19,-2.56609552562e+18,4.78968028864e+18
5.86913151917e+29,0.0,18874.3167883,27808.7756443,122680.600757,2.66088913516e+19,-2.4802183885e+18,5.81125963176e+18
