#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
1.29101505992e+30,0.0,-149108.237963,-3169.70644799,-149561.013419,5.30140142735e+18,5.44229696102e+18,5.1665454264e+18
2.15770757557e+29,0.0,-142486.466872,4528.37965709,-138369.142413,7.12636510011e+18,5.41556041571e+18,7.13699596539e+18
2.00350632715e+29,0.0,-147333.57225,-327.410147002,-146453.964734,5.84635982758e+18,5.41191000279e+18,5.76181249303e+18
2.66418017609e+29,0.0,-146146.890605,-753.379419479,-145972.278403,6.1074344388e+18,5.58994060839e+18,5.75215026914e+18
5.1219934613e+29,0.0,-147330.658987,1142.74592339,-145162.785669,5.98089604393e+18,5.33551131933e+18,5.95981799426e+18
2.11611094122e+29,0.0,-147377.78069,-2310.49164732,-147680.43986,5.73411024101e+18,5.59996802327e+18,5.44380383882e+18
5.53482489744e+29,0.0,-145202.515245,2023.88579901,-142184.421507,6.41360486676e+18,5.40860236817e+18,6.51648235076e+18
2.91085264028e+29,0.0,-147400.737663,-77.2401458992,-146450.8279,5.88914666109e+18,5.39130997673e+18,5.73411290752e+18
2.20951915967e+29,0.0,-148730.264988,217.467940532,-148050.827029,5.71338043107e+18,5.23545245682e+18,5.43265316044e+18
3.71877660755e+29,0.0,-146093.836528,-1845.73230774,-145626.131626,5.94781481509e+18,5.71326563015e+18,5.82874429949e+18
2.05430935623e+29,0.0,-145145.357093,3862.0090191,-141943.492503,6.56615336995e+18,5.21144575064e+18,6.58893139986e+18
4.28901041783e+29,0.0,-148172.189013,-1334.11152613,-146439.945873,5.60777926496e+18,5.47471767982e+18,5.71412175512e+18
2.66323102689e+29,0.0,-148230.001942,733.616620916,-146428.336887,5.67118131726e+18,5.2676298749e+18,5.83145453552e+18
2.3391153925e+29,0.0,-150249.574204,-2304.72721541,-149772.438694,5.21142202545e+18,5.28562172084e+18,5.12482074173e+18
5.55480787181e+29,0.0,-143151.107565,1947.12539789,-140089.794653,6.74976481498e+18,5.68735512553e+18,6.82178026683e+18
2.49980503804e+29,0.0,-145074.189261,462.559865113,-143948.141544,6.35546789901e+18,5.62008328513e+18,6.12147736438e+18
2.07457386257e+29,0.0,-146078.538087,-93.198600193,-144662.88531,6.13641086627e+18,5.5711025758e+18,5.99787990868e+18
3.64177690529e+29,0.0,-147130.824647,1035.31856339,-145444.279038,5.99609709659e+18,5.35186593631e+18,5.93010196124e+18
8.85490425443e+29,0.0,-145441.175488,1831.30169446,-143628.142268,6.41434109789e+18,5.46398384503e+18,6.19419914964e+18
3.44918326183e+29,0.0,-146293.953144,2301.47963748,-143769.54679,6.26185709259e+18,5.29817645338e+18,6.23083895859e+18
2.27238127176e+29,0.0,-146809.257952,515.814458108,-145850.668602,6.04168956041e+18,5.42211035127e+18,5.81480356897e+18
7.32645720273e+29,0.0,-148194.537542,830.640265559,-146458.45285,5.89854273408e+18,5.30753916394e+18,5.65638809517e+18
9.45401300985e+29,0.0,-149508.753108,-2705.15823315,-150146.048296,5.35371544341e+18,5.40784073003e+18,4.98209543654e+18
9.70840011027e+29,0.0,-146499.302253,1641.52061962,-144182.849077,6.21435272312e+18,5.35301165862e+18,6.11148988632e+18
2.46283475665e+29,0.0,-145335.164242,1794.37943257,-142988.277019,6.33622629917e+18,5.43186758987e+18,6.39456378128e+18
2.35413328834e+29,0.0,-145359.802193,1118.64812387,-144021.114904,6.40643000703e+18,5.52079633669e+18,6.09631502861e+18
4.23239992573e+29,0.0,-148204.60369,-1676.24576767,-148019.483247,5.58306465663e+18,5.42582056124e+18,5.4601230923e+18
3.39395846076e+29,0.0,-145231.585908,4020.24300421,-142551.440216,6.60201349946e+18,5.199679575e+18,6.44627073166e+18
3.31321084181e+29,0.0,-155536.387761,-10887.0183646,-157137.07392,3.72528209043e+18,5.28348810911e+18,3.46658469164e+18
2.70378146787e+29,0.0,-147285.036077,-708.923867678,-146068.096623,5.76726241268e+18,5.47790091265e+18,5.83424681062e+18
8.20076210826e+29,0.0,-147595.000337,-641.444604155,-146896.697093,5.8517078637e+18,5.47228091943e+18,5.5810385677e+18
7.54656528679e+29,0.0,-147583.587252,598.674524992,-146269.487576,5.82795458495e+18,5.31443572441e+18,5.82800199814e+18
2.10851544799e+29,0.0,-146980.535287,997.723639955,-145084.091604,6.08669462797e+18,5.37467340618e+18,5.93466056706e+18
3.65724098812e+29,0.0,-148291.490732,-27.5052950228,-147259.09591,5.68974505489e+18,5.31987017204e+18,5.60369912294e+18
4.30154280586e+29,0.0,-145641.022395,717.904172169,-144464.265472,6.27091280194e+18,5.4782047891e+18,6.08388840961e+18
2.8603178016e+29,0.0,-145933.86772,2045.73052357,-143495.426115,6.38375580507e+18,5.41433632897e+18,6.19757386711e+18
8.45456046313e+29,0.0,-145377.801281,1885.88263714,-143136.643858,6.38597221547e+18,5.42103792941e+18,6.33674066639e+18
2.64920651755e+29,0.0,-151478.663618,-5921.7233033,-152888.216962,4.66253117663e+18,5.3889212235e+18,4.52059064897e+18
1.03562236239e+30,0.0,-148711.945209,371.16204924,-147060.944093,5.73829722324e+18,5.27537141911e+18,5.57925740858e+18
1.51934904216e+30,0.0,-149353.657982,-2698.04546883,-149871.367155,5.34530536502e+18,5.42479128864e+18,5.05373832816e+18
5.29268145703e+29,0.0,-148682.457454,-2376.56230116,-149497.784873,5.57884291614e+18,5.48927980768e+18,5.04076751871e+18
3.0375953788e+29,0.0,-145964.888042,2280.15076575,-142783.280075,6.24803157713e+18,5.28573979349e+18,6.45878282065e+18
2.04007063092e+29,0.0,-145464.789362,999.118636614,-143906.022693,6.22515556249e+18,5.45147977469e+18,6.25209426139e+18
6.09225024804e+29,0.0,-146750.794246,-329.095011798,-145407.511107,6.00116561622e+18,5.53403582654e+18,5.85841485915e+18
3.13013420116e+29,0.0,-144761.369394,2314.42185581,-142482.956132,6.4744580485e+18,5.39657786857e+18,6.50219839524e+18
5.24497918538e+29,0.0,-145476.170054,3082.97579199,-141858.20727,6.40328740205e+18,5.28206361267e+18,6.61518338143e+18
3.21142776706e+29,0.0,-147690.63537,-1224.15461167,-147392.077364,5.827840714e+18,5.53238542932e+18,5.44309771916e+18
2.3445835246e+29,0.0,-146443.073768,-55.2314099186,-145547.993017,5.97665061848e+18,5.48186589357e+18,5.93351645912e+18
3.63127820701e+29,0.0,-152311.21624,-6499.19791104,-153273.492389,4.48156385187e+18,5.38494293718e+18,4.41942141007e+18
2.79860332722e+29,0.0,-147803.24925,-2692.5653892,-148118.668201,5.53522667349e+18,5.57264765394e+18,5.42496548895e+18
2.37557378105e+29,0.0,-148869.089306,-96.1230719391,-147536.029397,5.62038666682e+18,5.2717851553e+18,5.53032576857e+18
5.26578760296e+29,0.0,-148400.094844,-274.664519972,-147285.40723,5.64357371984e+18,5.29857323578e+18,5.62458058791e+18
4.30455207441e+29,0.0,-149382.455251,-2339.41906533,-149390.978836,5.4098904918e+18,5.3779263051e+18,5.13789893615e+18
2.05929431444e+29,0.0,-149993.793515,-1756.6890794,-149705.069184,5.31232348861e+18,5.31049009788e+18,5.08938158466e+18
5.86913151917e+29,0.0,-143214.490361,1714.76133328,-140849.4385,6.7510482914e+18,5.6998016068e+18,6.67803710001e+18
2.47218244397e+29,0.0,-147419.265117,809.457561187,-145938.714781,5.86557447984e+18,5.30872576493e+18,5.89498474506e+18
3.83303623847e+29,0.0,-148048.578669,-979.930551188,-147738.866751,5.6597743056e+18,5.39331801091e+18,5.5324141975e+18
5.47484547807e+30,0.0,-147274.072805,754.854556057,-145569.264436,5.97903550961e+18,5.38215599852e+18,5.86875146641e+18
4.25706407926e+29,0.0,-150054.507622,-2442.29806708,-150072.214763,5.28370881388e+18,5.32512527502e+18,5.02328770501e+18
3.49943978734e+29,0.0,-144877.304894,3883.19628453,-142716.466126,6.6498640259e+18,5.20723048607e+18,6.43852569446e+18
3.80858241674e+29,0.0,-147424.501076,-155.188639127,-146458.178699,5.86100970556e+18,5.39087880522e+18,5.75211581987e+18
2.28939092645e+29,0.0,-147768.921945,-679.707722187,-146625.029794,5.71213825776e+18,5.3830411466e+18,5.74860686122e+18
3.21999911191e+29,0.0,-148756.620711,-2436.50448426,-148702.092998,5.37707599727e+18,5.428104607e+18,5.3724166787e+18
2.40136313854e+29,0.0,-146555.70416,-1842.41402496,-145874.504183,5.87971728634e+18,5.66394658908e+18,5.78758746012e+18
2.04626725708e+29,0.0,-144936.672289,3020.97478334,-141467.901111,6.54533041978e+18,5.3323447487e+18,6.64647141346e+18
4.24226111433e+29,0.0,-148727.113774,-2421.50812662,-149016.767007,5.4970718069e+18,5.47219213618e+18,5.2062023267e+18
1.63478378976e+30,0.0,-146059.348707,16.2367251476,-144845.011746,6.16482097862e+18,5.58664144998e+18,5.93836712966e+18
3.31201211116e+29,0.0,-148159.01612,-261.382771834,-146195.711347,5.70487598667e+18,5.34258583285e+18,5.8027038506e+18
2.50776978111e+29,0.0,-148605.885687,-863.878615887,-147256.725642,5.5746549993e+18,5.32241591488e+18,5.61525868835e+18
2.09014725511e+29,0.0,-146175.283321,978.150217679,-144477.042197,6.07286139094e+18,5.35926564341e+18,6.20087741929e+18
8.3151495892e+29,0.0,-146168.006257,1977.93774748,-144305.379345,6.32058802233e+18,5.31333716995e+18,6.10341110236e+18
8.18426274595e+29,0.0,-143855.472575,2595.75531537,-140856.149612,6.72153649892e+18,5.54312534629e+18,6.68768379425e+18
3.03044992764e+29,0.0,-146154.416321,1179.574831,-144621.300466,6.20638695954e+18,5.40689199006e+18,6.04884158841e+18
6.7531383e+29,0.0,-148966.8258,-381.365691301,-148401.749708,5.49863517828e+18,5.22161036844e+18,5.46214539461e+18
4.31884665676e+29,0.0,-150217.980029,-2123.32265607,-150255.420005,5.22141381008e+18,5.28369158887e+18,5.03483861212e+18
7.14382921149e+29,0.0,-145371.153646,1926.56534842,-142816.56056,6.4115920797e+18,5.42143717385e+18,6.36805655594e+18
3.74518708903e+29,0.0,-149136.423204,-1845.48485405,-149197.723501,5.42826415618e+18,5.33966645531e+18,5.24692671465e+18
5.2620274382e+29,0.0,-147607.745509,-2218.67077879,-147579.18782,5.68004590659e+18,5.57857634039e+18,5.47790630812e+18
5.69231155109e+29,0.0,-149594.913661,-4194.57309321,-150631.17474,5.21520525537e+18,5.49061380218e+18,4.88256440083e+18
2.86359287502e+29,0.0,-151815.379357,-5292.04955697,-152667.512328,4.70424517875e+18,5.34824647726e+18,4.52180482675e+18
5.86066093377e+29,0.0,-147630.050513,-24.9707653305,-146040.365885,5.84969069663e+18,5.35817654525e+18,5.82317361029e+18
3.35891945226e+30,0.0,-145984.514215,1409.74499394,-144113.936075,6.23578808653e+18,5.3985557774e+18,6.16228490094e+18
4.73721096301e+29,0.0,-150915.819077,-2735.51313334,-150514.027523,4.97836599858e+18,5.20978167996e+18,5.07363640833e+18
3.07840769332e+29,0.0,-148172.359793,-1866.14859305,-148351.416092,5.63622101757e+18,5.46000658192e+18,5.35515680389e+18
3.9071234884e+29,0.0,-147683.197018,726.846890012,-146414.677307,5.83671032406e+18,5.30879353422e+18,5.79551407816e+18
2.54210359038e+29,0.0,-144754.111835,2689.91603295,-142670.441661,6.60790869452e+18,5.42360930775e+18,6.3849001827e+18
2.09351489379e+29,0.0,-149751.096824,-2397.10120607,-149637.044004,5.28741338094e+18,5.38568153417e+18,5.10989113528e+18
1.75555572558e+30,0.0,-146895.954169,-2023.23862319,-147007.063789,5.82173358357e+18,5.64711075912e+18,5.5619832791e+18
2.41434528495e+29,0.0,-144934.065813,1800.71143873,-142599.520782,6.41327117308e+18,5.44383205841e+18,6.47313614823e+18
4.75197776976e+29,0.0,-150344.451695,-2264.79733397,-150931.631764,5.15998069869e+18,5.19911003768e+18,4.98842419644e+18
2.99971073214e+29,0.0,-149485.692181,-761.292292269,-149495.22727,5.48152446245e+18,5.23382945277e+18,5.17714206263e+18
2.20094255565e+29,0.0,-147012.577213,1740.80205031,-144753.306819,6.00913593111e+18,5.23937826016e+18,6.1260465337e+18
3.50050642071e+29,0.0,-146434.414691,2927.04936272,-143661.032703,6.23541413325e+18,5.20637832822e+18,6.30222660466e+18
9.88922122304e+29,0.0,-147270.238418,562.341458402,-145416.666161,5.87075189534e+18,5.35765411162e+18,5.99365518733e+18
2.12105368093e+29,0.0,-145519.674605,1902.15187987,-143396.109285,6.39299505493e+18,5.3953243753e+18,6.27447437812e+18
1.50275297432e+30,0.0,-151123.914265,-3678.26233312,-151406.335759,4.94368233843e+18,5.34603305582e+18,4.7572635673e+18
3.37368227929e+30,0.0,-147946.940635,-379.317726533,-146535.771196,5.75935945301e+18,5.34232533774e+18,5.74070480188e+18
3.66830568601e+29,0.0,-148049.105302,1924.37333274,-145270.378266,5.85314425396e+18,5.17914480349e+18,6.0102774861e+18
2.73238929007e+29,0.0,-146385.045219,-1416.92369153,-145600.791628,5.97004723138e+18,5.65837873015e+18,5.82056440348e+18
2.32736390583e+29,0.0,-148375.475765,-298.880566274,-147113.448217,5.59158756576e+18,5.26066180719e+18,5.71019816517e+18
3.84421363788e+29,0.0,-143413.531869,4682.7502403,-138485.89086,6.95722360913e+18,5.31862944296e+18,7.13403781356e+18
1.3007687188e+31,0.0,-150042.205282,-3498.87526299,-150351.006224,5.19655491032e+18,5.40899808397e+18,4.93694255088e+18
4.43729350824e+29,0.0,-152262.940846,-4626.52870765,-152556.300619,4.62906045441e+18,5.23163149529e+18,4.63330868956e+18
2.04565845223e+29,0.0,-148731.724496,-1528.22486838,-148226.491232,5.6061955583e+18,5.41529415217e+18,5.32509784841e+18
5.26791507277e+29,0.0,-146719.926454,1017.79382665,-144849.416189,6.08119963977e+18,5.42527763361e+18,6.00051133932e+18
4.30084305097e+29,0.0,-149047.921776,-3075.14553422,-149411.018473,5.37815481361e+18,5.47697397094e+18,5.14041707225e+18
7.86732037312e+30,0.0,-148737.487091,-381.454597282,-147671.365112,5.48547395767e+18,5.23867640777e+18,5.62842263493e+18
3.31618018875e+29,0.0,-151549.348756,-1482.36956864,-151045.690564,4.97388424688e+18,5.0365874413e+18,5.02162548636e+18
2.77465218753e+29,0.0,-146113.299976,1494.49704884,-144370.798442,6.2525388408e+18,5.3807458808e+18,6.0945539631e+18
2.54467861618e+29,0.0,-150961.235534,-4860.27403171,-151985.14211,4.90902370968e+18,5.43259584357e+18,4.605250263e+18
3.18718534696e+29,0.0,-148859.426784,-344.376526588,-147907.376833,5.47370394127e+18,5.23357902146e+18,5.57309336139e+18
2.2796064909e+29,0.0,-151956.474241,-4240.29346019,-152290.87893,4.72168561155e+18,5.24328947389e+18,4.68494543167e+18
7.48635433069e+29,0.0,-145294.119107,626.728927183,-144159.494599,6.26357734176e+18,5.53315454388e+18,6.16531193862e+18
2.7036166617e+29,0.0,-143536.851532,3106.43714057,-140877.416639,6.79441491785e+18,5.49777908031e+18,6.72215110704e+18
2.08843944358e+29,0.0,-147973.893038,292.006014407,-145835.511757,5.7605130906e+18,5.31917736609e+18,5.89908199385e+18
2.70797041173e+29,0.0,-145149.362961,2688.60848956,-142441.565182,6.5465552107e+18,5.39352487483e+18,6.40881735183e+18
4.04087593132e+29,0.0,-147214.073106,305.836230293,-145795.409463,5.93146499079e+18,5.40624161285e+18,5.83916528474e+18
4.75078782428e+29,0.0,-143741.175775,2256.94829943,-140587.622507,6.66924123081e+18,5.56841949403e+18,6.76788679794e+18
5.99770514148e+29,0.0,-145751.115377,1649.40418784,-143066.155416,6.22738014809e+18,5.4231498677e+18,6.38104093488e+18
3.19774171808e+29,0.0,-145501.577707,4014.44354239,-141522.177107,6.492084578e+18,5.17790756609e+18,6.65581929633e+18
2.60565662597e+29,0.0,-148538.194897,-2835.86311929,-148997.959753,5.42777002793e+18,5.5293678236e+18,5.22574205324e+18
9.33699718189e+29,0.0,-148250.564097,164.121897894,-147239.029837,5.71423349655e+18,5.29592814645e+18,5.63397417861e+18
2.01790593662e+29,0.0,-144904.955893,2684.58589744,-142513.076682,6.60959284866e+18,5.42895666942e+18,6.37906312769e+18
3.82279242699e+29,0.0,-148408.402768,-1142.88425441,-148502.894141,5.67440316119e+18,5.37425941535e+18,5.32050866783e+18
2.02205772051e+29,0.0,-146725.461951,1494.67583743,-145495.496746,6.07528271179e+18,5.26107810117e+18,5.98496419648e+18
2.59795477943e+29,0.0,-148037.157756,-675.481597293,-147962.652674,5.70887457441e+18,5.34370324835e+18,5.48416200581e+18
3.90193816078e+29,0.0,-151202.892219,-2711.93714771,-151380.609303,4.92820435809e+18,5.21034859417e+18,4.89192916101e+18
2.18228421803e+29,0.0,-145402.650787,1904.18226245,-142304.413339,6.37058628841e+18,5.45696883203e+18,6.46436614655e+18
3.43552474253e+29,0.0,-147613.436578,-2936.42099586,-148031.214026,5.67465374204e+18,5.66707709357e+18,5.31476814752e+18
2.97495975611e+29,0.0,-152755.911407,-6654.80286503,-153912.68172,4.45334858847e+18,5.35289899783e+18,4.24138657215e+18
4.33056559553e+29,0.0,-147585.006938,-1312.37961774,-147814.915016,5.73979330498e+18,5.47861419729e+18,5.47784621303e+18
2.3337362453e+29,0.0,-147832.137846,2150.89885177,-144638.591117,5.87046261844e+18,5.15400861811e+18,6.15231807599e+18
2.57852934403e+29,0.0,-148951.873212,-2117.35829749,-148763.12892,5.4970925217e+18,5.44136529513e+18,5.2360562908e+18
2.20013265797e+29,0.0,-146330.238445,-355.926939681,-145808.434535,6.13251439416e+18,5.58744706317e+18,5.7425638812e+18
6.07888706387e+29,0.0,-145600.95261,-1211.14975291,-145222.828927,6.08814700719e+18,5.69358100395e+18,5.9096048961e+18
2.08448309089e+29,0.0,-148933.626547,-4755.00579374,-149816.354941,5.26545518055e+18,5.68553734086e+18,4.96028378283e+18
2.7751570265e+29,0.0,-149996.559696,-3312.69278407,-151106.213798,5.22083671296e+18,5.40260437342e+18,4.79457427066e+18
2.62521205124e+29,0.0,-147306.593825,-699.235491303,-146597.937426,5.74683642115e+18,5.41178834443e+18,5.79163873239e+18
5.59496775708e+29,0.0,-148346.427315,-1306.3170612,-148131.139507,5.67930946687e+18,5.44504593615e+18,5.33630406429e+18
2.25252414421e+30,0.0,-145213.668239,561.99721579,-143899.034863,6.28544398991e+18,5.55654837642e+18,6.1919581557e+18
3.41454416063e+29,0.0,-148355.837723,-3900.91998229,-149549.029238,5.41302991667e+18,5.64069550969e+18,5.06883476262e+18
3.68186581685e+29,0.0,-149107.688567,-2188.65014668,-149151.296968,5.35857488831e+18,5.38936879093e+18,5.27054665033e+18
2.25649460608e+29,0.0,-146959.924967,-1158.57340356,-145805.644749,5.83327541773e+18,5.55461145204e+18,5.83886436182e+18
4.01190323287e+29,0.0,-146474.489196,1887.41430209,-144142.962791,6.10693963661e+18,5.26583024648e+18,6.24335681665e+18
3.35946307314e+29,0.0,-147438.566232,-969.749304542,-147063.759291,5.83324288222e+18,5.45816409246e+18,5.59229494578e+18
1.1434063622e+30,0.0,-151600.609478,-1285.54337487,-150223.836872,4.94821048451e+18,5.07718972747e+18,5.16211283977e+18
2.27177196786e+29,0.0,-146978.207426,709.031959972,-145329.998052,6.04578970579e+18,5.40361690521e+18,5.90334873199e+18
2.75915543185e+29,0.0,-149133.916241,-1375.37274161,-148730.208307,5.38973105494e+18,5.26097284769e+18,5.41985181086e+18
2.89222229409e+29,0.0,-151412.116072,-4813.82275017,-152481.718957,4.78299956126e+18,5.30200272384e+18,4.63535813302e+18
1.14027563869e+30,0.0,-149627.161622,-2327.08736568,-149543.063321,5.24127916158e+18,5.33341871312e+18,5.22419266816e+18
1.99403379954e+29,0.0,-147435.925726,-2538.36369897,-147532.05684,5.71648412287e+18,5.62641435201e+18,5.45061206394e+18
3.77325029912e+29,0.0,-146254.485827,122.491272276,-145533.580301,6.08338639493e+18,5.47715167739e+18,5.89773240883e+18
2.3896440064e+29,0.0,-149740.475111,-2844.95891489,-149521.141691,5.15500956184e+18,5.34377533795e+18,5.24290558383e+18
1.71387799868e+30,0.0,-147976.597142,2127.4464847,-146342.874041,5.89015408131e+18,5.07470657029e+18,5.86671745965e+18
1.9897419484e+29,0.0,-147070.203138,-741.221186479,-146085.790941,5.90795901413e+18,5.48693094826e+18,5.77262763556e+18
2.92028016257e+29,0.0,-144741.459373,2941.82273158,-142201.055942,6.65972296154e+18,5.40679576652e+18,6.44161659513e+18
3.45155992469e+29,0.0,-146357.117074,1213.05440077,-144170.11017,6.13514757814e+18,5.40075334928e+18,6.15989573104e+18
2.21711393621e+29,0.0,-148910.176828,-144.907956946,-147658.760645,5.64651752368e+18,5.26426462443e+18,5.49696119773e+18
1.10472145769e+30,0.0,-144646.728089,1334.18530365,-142601.126561,6.43450250881e+18,5.54442110413e+18,6.4386954287e+18
2.95730520134e+29,0.0,-147073.871414,2500.38121315,-145425.694685,6.1540435718e+18,5.18447423174e+18,5.95153533878e+18
7.74429168058e+29,0.0,-148934.872171,-1175.87289172,-148376.689776,5.56477862316e+18,5.35695008604e+18,5.3274420859e+18
1.2566594172e+30,0.0,-151674.805579,-4024.63777651,-152061.960068,4.84967433644e+18,5.29162968736e+18,4.64978800107e+18
7.5862811061e+29,0.0,-146255.041054,-611.415566194,-145257.428671,6.05841503559e+18,5.61471943664e+18,5.88492087361e+18
3.36125179476e+29,0.0,-146625.615101,1050.71439839,-144333.97836,6.11201169293e+18,5.3999682785e+18,6.1132207177e+18
3.38033802991e+29,0.0,-153251.653745,-5642.69430637,-153640.525994,4.47662283339e+18,5.24179039623e+18,4.31755234913e+18
2.26284368842e+29,0.0,-147110.875467,1186.31262793,-145801.535301,6.06680077525e+18,5.35578134491e+18,5.82098179763e+18
2.89249197027e+29,0.0,-152136.170571,-3229.04684809,-152305.031644,4.7521771279e+18,5.14800970879e+18,4.71765197715e+18
2.9545090103e+29,0.0,-151884.939309,-1532.45256856,-150919.818647,4.86924112857e+18,5.02766371742e+18,5.06898845166e+18
3.45821323023e+29,0.0,-150271.304355,-4587.636732,-150817.722745,4.97397435634e+18,5.453435106e+18,4.90465132089e+18
3.11287526367e+29,0.0,-145647.929163,3643.30850813,-142582.132049,6.44446134199e+18,5.21079881939e+18,6.48000132192e+18
1.32034222542e+30,0.0,-148122.821177,-2306.91282563,-147668.096236,5.53933643605e+18,5.52360813462e+18,5.49693475246e+18
2.3749562976e+29,0.0,-147497.98799,525.339603882,-146306.234214,5.95325081617e+18,5.36159599052e+18,5.73794040934e+18
2.04737936743e+29,0.0,-151738.725131,-5464.18476896,-152871.142546,4.65417174259e+18,5.34148813795e+18,4.53752421988e+18
2.32812116629e+29,0.0,-147672.678525,-697.263627269,-147010.273843,5.81773927635e+18,5.38768351723e+18,5.63248662595e+18
1.68489157947e+30,0.0,-146497.138826,453.565594724,-145180.525273,6.06237933224e+18,5.44061358698e+18,5.96567721953e+18
2.34209876758e+29,0.0,-146800.69335,2765.50241285,-144149.930785,6.10009131414e+18,5.16410029882e+18,6.26688398539e+18
2.80220427678e+29,0.0,-150630.27596,-284.950002686,-149831.083287,5.26963011638e+18,5.07993267961e+18,5.18734920555e+18
4.29564461522e+29,0.0,-145064.797136,3515.06560991,-141966.0461,6.58263956183e+18,5.29719183138e+18,6.53894373179e+18
4.29990615273e+30,0.0,-146733.978654,441.365772742,-145247.313254,6.01624016411e+18,5.41042844997e+18,5.96918459851e+18
4.97529536875e+29,0.0,-148400.956461,-1419.39618533,-148072.079249,5.6100427171e+18,5.37750787196e+18,5.44332138619e+18
2.31830041453e+29,0.0,-150762.951508,-3412.95036292,-151069.528969,5.11196283028e+18,5.35859224968e+18,4.76040404883e+18
4.75140961302e+29,0.0,-146616.622806,-9.57966158585,-145888.686876,6.08411740582e+18,5.50562584344e+18,5.75795350637e+18
2.820740872e+29,0.0,-148171.334372,-1789.68435047,-147519.889239,5.5867408076e+18,5.45478590988e+18,5.53355009359e+18
1.99364079992e+29,0.0,-152263.837982,-4947.55254258,-153247.452489,4.70254174628e+18,5.27354462905e+18,4.39021386735e+18
2.18394676655e+29,0.0,-147039.867056,303.274874718,-145479.768024,6.01763031847e+18,5.46107487172e+18,5.85096128653e+18
