#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
1.29101505992e+30 0.0 60923.4535511 109464.96642 117954.541382 5.98823734071e+17 -1.20021219508e+19 -1.0279449818e+19
2.15770757557e+29 0.0 59618.6882477 105263.229201 121048.07014 6.03815657248e+17 -1.25172797552e+19 -1.01151373965e+19
2.00350632715e+29 0.0 63155.9695329 107337.855376 111567.290136 8.5605660466e+16 -1.24284216963e+19 -1.09343844064e+19
2.66418017609e+29 0.0 57517.6517155 110528.172518 127787.399138 1.23363735008e+18 -1.16804719807e+19 -9.19987857087e+18
5.1219934613e+29 0.0 63052.0368373 107934.376337 110618.297459 2.13383947446e+17 -1.23331322805e+19 -1.09436208408e+19
2.11611094122e+29 0.0 61526.683329 107007.432064 117233.26556 3.70942905068e+17 -1.23368196329e+19 -1.04189839833e+19
5.53482489744e+29 0.0 62463.3908867 108582.751589 122855.68445 3.90375386053e+17 -1.18527871023e+19 -9.77111955329e+18
2.91085264028e+29 0.0 58052.0633074 108766.942616 120075.872724 1.03955256479e+18 -1.21679054797e+19 -1.00970153049e+19
2.20951915967e+29 0.0 66092.2095388 106165.171022 109274.587386 -3.23905014545e+17 -1.23947997015e+19 -1.10698265808e+19
3.71877660755e+29 0.0 60510.1672061 110775.142109 117073.881233 7.30505771903e+17 -1.19372658185e+19 -1.02919594834e+19
2.05430935623e+29 0.0 63980.4342958 110095.504464 112158.305522 8.91711535797e+16 -1.20272038255e+19 -1.07522557537e+19
4.28901041783e+29 0.0 58673.0117152 119225.67139 135052.511916 1.58007008502e+18 -1.01326381827e+19 -8.00030740261e+18
2.66323102689e+29 0.0 58614.556997 112191.02033 119229.593545 1.32965721343e+18 -1.15704445491e+19 -9.93275267838e+18
2.3391153925e+29 0.0 59820.2973602 106668.981206 117805.5202 7.04815322258e+17 -1.24063182289e+19 -1.03655743828e+19
5.55480787181e+29 0.0 60440.1053896 106532.489927 115457.651821 5.08849192526e+17 -1.25166541317e+19 -1.06193467616e+19
2.49980503804e+29 0.0 62418.7093659 108209.521676 113881.531934 2.73224384673e+17 -1.22490528828e+19 -1.06976026144e+19
2.07457386257e+29 0.0 62125.3513521 104870.44823 113451.894303 1.8949362404e+17 -1.27002604798e+19 -1.08366364639e+19
3.64177690529e+29 0.0 64337.1341512 105497.860088 108386.483608 -2.11731466866e+17 -1.2693926266e+19 -1.12655247545e+19
